accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
2/28/2022,4:50:50 PM,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/26/2022,11:34:34 PM,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/25/2022,9:31:31 AM,ศรีรัช,ปกติ,0,0,0,0,เบรคขัดข้อง
2/25/2022,9:55:55 PM,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/25/2022,12:38:38 AM,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/25/2022,11:40:40 AM,บูรพาวิถี,ปกติ,0,0,1,0,เปลี่ยนช่องทางกระทันหัน
2/25/2022,10:12:12 PM,บูรพาวิถี,ปกติ,1,0,0,0,ขับขี่กระชั้นชิด
2/25/2022,2:15:15 PM,เฉลิมมหานคร,ปกติ,0,0,0,0,เพลิงไหม้
2/25/2022,10:38:38 AM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2/25/2022,4:17:17 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ยางแตก
2/25/2022,5:17:17 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เบรคขัดข้อง
2/24/2022,12:10:10 PM,บูรพาวิถี,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2/24/2022,3:05:05 PM,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/24/2022,1:08:08 AM,บางพลี-สุขสวัสดิ์,ปกติ,2,1,0,0,ขับรถเร็วเกินไป
2/24/2022,2:17:17 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/23/2022,9:00:00 AM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/21/2022,1:43:43 PM,ฉลองรัช,ปกติ,0,0,0,0,เบรคกระทันหัน
2/21/2022,12:14:14 PM,อุดรรัถยา,ปกติ,0,0,0,0,เบรคขัดข้อง
2/21/2022,11:15:15 AM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2/21/2022,7:46:46 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/21/2022,10:39:39 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2/20/2022,8:41:41 PM,ฉลองรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2/20/2022,4:45:45 PM,บูรพาวิถี,ปกติ,0,1,0,0,โรคประจำตัว
2/20/2022,2:45:45 PM,เฉลิมมหานคร,ปกติ,0,3,0,0,เปลี่ยนช่องทางกระทันหัน
2/20/2022,2:02:02 AM,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/20/2022,1:30:30 AM,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,เบรคขัดข้อง
2/19/2022,4:07:07 PM,ศรีรัช,ปกติ,0,0,0,0,ยางแตก
2/19/2022,6:14:14 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เครื่องยนต์ขัดข้อง
2/18/2022,11:44:44 PM,ศรีรัช,ปกติ,1,1,0,0,เปลี่ยนช่องทางกระทันหัน
2/18/2022,9:52:52 AM,บูรพาวิถี,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/18/2022,10:39:39 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/18/2022,1:36:36 PM,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/17/2022,7:00:00 AM,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/17/2022,7:17:17 PM,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/17/2022,1:54:54 AM,บางพลี-สุขสวัสดิ์,ปกติ,2,2,0,0,หลับใน
2/17/2022,3:30:30 AM,บางพลี-สุขสวัสดิ์,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2/17/2022,9:02:02 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคขัดข้อง
2/16/2022,12:59:59 AM,ศรีรัช,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2/14/2022,9:20:20 PM,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/14/2022,3:56:56 PM,อุดรรัถยา,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/13/2022,9:30:30 AM,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/12/2022,1:33:33 PM,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/12/2022,1:33:33 AM,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2/11/2022,9:31:31 PM,ศรีรัช,ปกติ,0,0,0,0,เครื่องยนต์ขัดข้อง
2/11/2022,3:06:06 PM,ฉลองรัช,ปกติ,0,0,0,0,เบรคไม่อยู่
2/11/2022,5:56:56 AM,บูรพาวิถี,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2/11/2022,6:40:40 PM,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/11/2022,6:00:00 PM,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรคขัดข้อง
2/11/2022,7:04:04 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/9/2022,1:34:34 PM,ฉลองรัช,ฝนตก,1,1,0,0,เสียหลักหมุนชนขอบทาง
2/9/2022,2:58:58 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2/8/2022,8:48:48 AM,ศรีรัช,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2/8/2022,12:50:50 AM,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2/8/2022,9:26:26 PM,เฉลิมมหานคร,ปกติ,2,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/8/2022,9:08:08 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/7/2022,9:57:57 PM,ศรีรัช,ปกติ,0,0,0,0,เบรคขัดข้อง
2/7/2022,10:12:12 AM,ฉลองรัช,ปกติ,0,0,0,0,เบรคขัดข้อง
2/7/2022,6:24:24 PM,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2/7/2022,10:52:52 PM,เฉลิมมหานคร,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/5/2022,8:15:15 PM,ศรีรัช,ปกติ,0,1,0,0,นั่งบุลคลอีซูซุก้มเก็บของ
2/5/2022,1:58:58 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ยางแตก
2/4/2022,5:43:43 AM,ฉลองรัช,ปกติ,1,0,0,0,ยางแตก
2/4/2022,11:51:51 PM,ฉลองรัช,ปกติ,0,0,0,0,รถนั่งฮอนด้าขับย้อนทางลงพัฒ2
2/4/2022,3:03:03 PM,อุดรรัถยา,ปกติ,1,0,0,0,ยางแตก
2/4/2022,1:19:19 PM,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/4/2022,8:55:55 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,เบรคขัดข้อง
2/4/2022,10:07:07 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2/3/2022,12:12:12 PM,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2/3/2022,1:50:50 AM,เฉลิมมหานคร,ปกติ,2,0,0,0,หลับใน
2/3/2022,9:05:05 AM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/2/2022,7:03:03 PM,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2/2/2022,10:19:19 PM,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/2/2022,12:18:18 AM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถประมาท
2/1/2022,5:30:30 AM,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2/1/2022,3:13:13 PM,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เบรคขัดข้อง
1/31/2022,2:46:46 PM,ศรีรัช,ปกติ,0,1,0,0,ก้มเก็บของ
1/31/2022,11:00:00 AM,บูรพาวิถี,ปกติ,0,0,0,0,เพลิงไหม้
1/30/2022,12:48:48 AM,เฉลิมมหานคร,ปกติ,1,0,1,0,ขับรถเร็วเกินไป
1/29/2022,12:04:04 AM,ศรีรัช,ปกติ,0,0,0,0,หลับใน
1/29/2022,4:00:00 AM,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
1/29/2022,12:45:45 AM,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
1/28/2022,1:10:10 PM,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,บรรทุกยื่นล้ำ
1/28/2022,9:44:44 AM,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
